goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkUnicodeIs/IsUpper/matching_only         	  367720	      3232 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  377233	      3224 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  367234	      3273 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  378607	      3308 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  381798	      3218 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  366898	      3228 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  344163	      3296 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  346324	      3268 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  362046	      3212 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     702	   1701774 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     680	   1663347 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     730	   1694431 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     685	   1652752 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     697	   1757829 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     684	   1690102 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     672	   1754421 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     685	   1715495 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     674	   1733392 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/all_valid_UTF8        	     694	   1748815 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9856557	       121.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9971004	       120.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	10021510	       121.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9554164	       122.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9865230	       128.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9481225	       126.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9872643	       125.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9461451	       120.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9695376	       121.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/matching_only       	 9826965	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     757	   1590202 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     758	   1610272 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     727	   1650615 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     709	   1599469 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     716	   1648808 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     746	   1653879 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     694	   1630623 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsControl/all_valid_UTF8      	     718	   1668192 ns/op	       0 B/op	       0 allocs/op
