goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/bytes.ContainsRune-8                                                       635.6µ ±  2%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/strings.ContainsRune-8                                                     633.9µ ±  2%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/isStrategy-8                                                                      2.930µ ±  5%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/bytes.ContainsAny-8                                                      312.3µ ±  2%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/strings.ContainsAny-8                                                    117.7µ ±  1%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/bytes.ContainsRune-8                                                     634.7µ ±  3%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/strings.ContainsRune-8                                                   645.1µ ±  3%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/isStrategy-8                                                                    2.716µ ±  6%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/bytes.ContainsAny-8                                  15.82µ ±  3%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/strings.ContainsAny-8                                19.11µ ±  1%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/bytes.ContainsRune-8                                 655.9µ ±  3%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/strings.ContainsRune-8                               664.3µ ±  5%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/isStrategy-8                                                2.760µ ±  5%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/bytes.ContainsAny-8                                   15.63µ ±  1%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/strings.ContainsAny-8                                 19.31µ ±  2%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/bytes.ContainsRune-8                                  664.9µ ±  4%
