goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  563860	      2046 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  575112	      2018 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  577806	      2014 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  558669	      2063 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  590388	      2034 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75631	     15679 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   76567	     15666 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   74965	     15921 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   74571	     15720 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75720	     17045 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   76021	     15615 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75625	     15920 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75400	     15879 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75268	     16181 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8        	   75963	     15927 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   62769	     18954 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   62961	     19182 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   63042	     19176 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   60579	     19716 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   60934	     20502 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   56688	     19779 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   56868	     19440 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   60115	     19809 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   60325	     19748 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8      	   60709	     19883 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8       	    1813	    662509 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8       	    1767	    668915 ns/op	       0 B/op	       0 allocs/op
